id,name,album,artist,popularity,release_date,duration_ms,explicit,genre
7DSAEUvxU8FajXtRloy8M0,Flowers,Endless Summer Vacation,Miley Cyrus,89,2023-08-18,200600,False,pop
2CIXO1jQbrV1hlfI7FUKld,Wrong Ones (Feat. Tim McGraw),F-1 Trillion,"Post Malone, Tim McGraw",74,2024-08-15,195822,True,pop
6CThut6kPrjot0pTJOTEer,TRUCK BED,the mockingbird & THE CROW,HARDY,79,2023-01-20,167534,True,pop
3AJwUDP919kvQ9QcozQPxg,Yellow,Parachutes,Coldplay,89,2000-07-10,266773,False,pop
331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,I Don't Wanna Wait,"David Guetta, OneRepublic",90,2024-04-05,149667,False,pop
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,Globalization,"Pitbull, Ne-Yo",84,2014-11-21,229360,True,pop
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,88,2012-12-07,233478,False,pop
2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter (Tell Me),Drops Of Jupiter,Train,82,2001-03-27,259933,False,pop
2a8VqAP1doFm8tPuj9Sl5e,It's Up (feat. Young Thug & 21 Savage),100 GIGS,"Drake, Young Thug, 21 Savage",57,2024-08-10,278000,False,pop
1TE8AAk9koG0UJco6ZAUfx,Rock and A Hard Place,Religiously. The Album.,Bailey Zimmerman,79,2023-01-11,207540,False,pop
5TgEJ62DOzBpGxZ7WRsrqb,Work Song,Hozier (Expanded Edition),Hozier,78,2014-09-19,229720,False,pop
0lJNSfWnwJMIh94Dv9jQUt,What Don't Belong To Me,F-1 Trillion,Post Malone,73,2024-08-15,207176,False,pop
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,The Weeknd,89,2020-03-20,200040,False,pop
5YqEzk3C5c3UZ1D5fJUlXA,Sunroof,Good Times Go,"Nicky Youre, dazy",84,2023-06-09,163025,False,pop
61oMtVkdawT44CnEUYnd9Q,Blue Green Red,100 GIGS,Drake,49,2024-08-10,217846,False,pop
1KGi9sZVMeszgZOWivFpxs,No Scrubs,Fanmail,TLC,83,1999-02-23,214400,False,pop
3A4QdG26Z0vcJ5iIQ2oNFQ,Housekeeping Knows (feat. Latto),100 GIGS,"Drake, Latto",44,2024-08-10,186692,False,pop
1kuGVB7EU95pJObxwvfwKS,vampire,GUTS,Olivia Rodrigo,85,2023-09-08,219724,True,pop
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),F-1 Trillion,"Post Malone, Morgan Wallen",73,2024-08-15,178205,True,pop
